Column,Lower_Bound,Upper_Bound,Mean_Cleaned,Noise_Count,Normality_Score
i7-920,22.5,32.5,27.5,0,1.0
i7-930,24.5,26.5,25.5,0,1.0
i7-950,35.0,35.0,35.0,0,1.0
i7-960,35.0,35.0,35.0,0,1.0
i7-980X,97.5,127.5,112.5,0,1.0
i5-750,7.5,9.5,8.5,0,1.0
i5-760,8.5,14.5,11.5,0,1.0
i3-530,-1.0,67.0,33.0,0,1.0
i3-540,0.0,60.0,30.0,0,1.0
i3-2100,12.0,12.0,12.0,0,1.0
i3-2120,8.5,30.5,19.5,0,1.0
i3-2100T,14.0,18.0,16.0,0,1.0
i5-2300,40.0,80.0,60.0,0,1.0
i5-2400,41.5,51.5,46.5,0,1.0
i5-2500K,57.5,67.5,62.5,0,1.0
i5-2550K,62.5,72.5,67.5,0,1.0
i7-2600,145.0,145.0,145.0,0,1.0
i7-2600K,150.0,190.0,170.0,0,1.0
i7-2700K,187.0,191.0,189.0,0,1.0
i3-3220,20.0,20.0,20.0,0,1.0
i3-3240T,20.5,30.5,25.5,0,1.0
i5-3470,83.0,91.0,87.0,0,1.0
i5-3570K,69.5,103.5,86.5,0,1.0
i5-3550,62.5,112.5,87.5,0,1.0
i7-3770,94.5,268.5,181.5,0,1.0
i7-3770K,232.0,296.0,264.0,0,1.0
i7-3820,47.0,175.0,111.0,0,1.0
i3-4130,15.0,19.0,17.0,0,1.0
i3-4330,23.0,23.0,23.0,0,1.0
i5-4440,48.0,296.0,172.0,0,1.0
i5-4690K,122.5,132.5,127.5,0,1.0
i7-4770,172.5,202.5,187.5,0,1.0
i7-4790K,295.0,315.0,305.0,0,1.0
i5-4590,76.0,88.0,82.0,0,1.0
i3-4360,29.0,29.0,29.0,0,1.0
i7-5775C,410.5,488.5,449.5,0,1.0
i5-5675C,112.5,262.5,187.5,0,1.0
i7-6700K,208.5,454.5,331.5,0,1.0
i7-6700,-140.5,509.5,184.5,0,1.0
i5-6600K,121.5,355.5,238.5,0,1.0
i5-6600,170.0,210.0,190.0,0,1.0
i5-6500,112.0,216.0,164.0,0,1.0
i5-6400,112.0,176.0,144.0,0,1.0
i3-6100,36.0,48.0,42.0,0,1.0
i7-7700K,-206.5,719.5,256.5,0,1.0
i7-7700,405.0,465.0,435.0,0,1.0
i5-7600K,188.0,272.0,230.0,0,1.0
i5-7600,237.5,247.5,242.5,0,1.0
i5-7500,225.5,243.5,234.5,0,1.0
i5-7400,195.0,215.0,205.0,0,1.0
i3-7350K,86.0,102.0,94.0,0,1.0
i3-7300,80.0,100.0,90.0,0,1.0
i3-7100,48.5,62.5,55.5,0,1.0
i7-7700T,85.0,545.0,315.0,0,1.0
i5-7600T,93.5,367.5,230.5,0,1.0
i5-7500T,337.5,467.5,402.5,0,1.0
i7-8700K,625.0,725.0,675.0,0,1.0
i7-8700,277.5,327.5,302.5,0,1.0
i7-8700T,676.0,692.0,684.0,0,1.0
i5-8600K,345.0,365.0,355.0,0,1.0
i5-8600,237.5,447.5,342.5,0,1.0
i5-8500,337.5,367.5,352.5,0,1.0
i5-8400,193.5,379.5,286.5,0,1.0
i5-8400T,86.0,342.0,214.0,0,1.0
i3-8350K,165.0,169.0,167.0,0,1.0
i3-8300,67.5,297.5,182.5,0,1.0
i3-8100,116.0,124.0,120.0,0,1.0
