name,2025/5/6,2025/5/7,2025-05-08
i7-920,25,25,25
i7-930,23,20,25
i7-950,35,35,35
i7-960,40,55,35
i7-980X,182,182,105
i5-750,10,10,8
i5-760,13,13,10
i3-530,18,7,16
i3-540,34,20,15
i3-2100,12,12,12
i3-2120,16,16,14
i3-2100T,15,5,15
i5-2300,80,50,50
i5-2400,49,50,44
i5-2500K,65,65,60
i5-2550K,60,60,65
i7-2600,153,118,145
i7-2600K,155,155,160
i7-2700K,120,120,188
i3-3220,20,20,20
i3-3240T,30,30,23
i5-3470,55,79,85
i5-3570K,81,81,78
i5-3550,88,40,75
i7-3770,156,210,138
i7-3770K,260,265,248
i7-3820,36,40,79
i3-4130,14,15,16
i3-4330,23,23,23
i5-4440,193,94,110
i5-4690K,90,112,125
i7-4770,195,200,180
i7-4790K,286,270,300
i5-4590,75,78,79
i3-4360,48,29,29
i7-5775C,328,328,430
i5-5675C,120,150,150
i7-6700K,305,373,270
i7-6700,355,364,22
i5-6600K,150,240,180
i5-6600,168,194,180
i5-6500,190,190,138
i5-6400,180,180,128
i3-6100,45,35,39
i7-7700K,100,25,25
i7-7700,380,380,420
i5-7600K,259,258,209
i5-7600,199,199,240
i5-7500,120,140,230
i5-7400,180,216,200
i3-7350K,98,98,90
i3-7300,3,3,85
i3-7100,60,60,52
i7-7700T,200,200,200
i5-7600T,146,146,162
i5-7500T,668,700,370
i7-8700K,500,724,650
i7-8700,199,418,290
i7-8700T,493,500,680
i5-8600K,395,290,350
i5-8600,229,229,290
i5-8500,260,350,345
i5-8400,278,350,240
i5-8400T,15,15,150
i3-8350K,130,191,166
i3-8300,154,153,125
i3-8100,115,120,118
