name,2025-05-07
i7-920,25
i7-930,20
i7-950,35
i7-960,55
i7-980X,182
i5-750,10
i5-760,13
i3-530,7
i3-540,20
i3-2100,12
i3-2120,16
i3-2100T,5
i5-2300,50
i5-2400,50
i5-2500K,65
i5-2550K,60
i7-2600,118
i7-2600K,155
i7-2700K,120
i3-3220,20
i3-3240T,30
i5-3470,79
i5-3570K,81
i5-3550,40
i7-3770,210
i7-3770K,265
i7-3820,40
i3-4130,15
i3-4330,23
i5-4440,94
i5-4690K,112
i7-4770,200
i7-4790K,270
i5-4590,78
i3-4360,29
i7-5775C,328
i5-5675C,150
i7-6700K,373
i7-6700,364
i5-6600K,240
i5-6600,194
i5-6500,190
i5-6400,180
i3-6100,35
i7-7700K,25
i7-7700,380
i5-7600K,258
i5-7600,199
i5-7500,140
i5-7400,216
i3-7350K,98
i3-7300,3
i3-7100,60
i7-7700T,200
i5-7600T,146
i5-7500T,700
i7-8700K,724
i7-8700,418
i7-8700T,500
i5-8600K,290
i5-8600,229
i5-8500,350
i5-8400,350
i5-8400T,15
i3-8350K,191
i3-8300,153
i3-8100,120
